姓名,公司,岗位,身份,
周骏,紫光展锐,数字化负责人,参会人员,
蒲文宗,电科云象（浙江）科技有限公司,总经理,参会人员,
张磊,随幻科技,战略合作生态总监,参会人员,
阮慧平,慧鹞咨询,联合创始人,参会人员,
刘总,华住技术,vp,参会人员,
王总,哔哩哔哩,技术总监,参会人员,
周锋,上海启迪之星,副总经理,参会人员,
张涛,复星文化饮食,cto,参会人员,
孙思煊,上海聚通装饰集团,技术总监,参会人员,
王蒙,企商在线（北京）,数据技术股份有限公司 商务总监,参会人员,
石勇,涵杯智能水杯,未知,参会人员,
刘锋,上海瀛东律所,数据资产律师,参会人员,
潘国华,MES 武林大会,发起人,参会人员,
刘总,哈啰集团,cto,参会人员,
姚总,cio时代,创始人,参会人员,
陈桂峰,南京宽乐健康,CTO,参会人员,
唐荣兵,云锋智能,CTO,参会人员,
唐超,今日广告,创始人,参会人员,
李长柏,上海万芽智能科技有限公司,创始人,参会人员,
理想汽车,产品经理,未知,参会人员,
雅迪,数字化运营部副部长,未知,参会人员,
中国重型汽车,研发系统实施经理,未知,参会人员,
特斯拉,产品经理,未知,参会人员,
何总,久策,总经理,参会人员,
冉超,网聚无限,未知,参会人员,
姜姜,纽盾科技,未知,参会人员,
刘总,湘邮市场部,总经理,参会人员,
柯总,百龄安,产品运营总监,参会人员,
陈云凯,华鲤智能科技,联合创始人,参会人员,
王磊博士,芸机器人,创始人,演讲嘉宾,
姚乐,cio时代,创始人,分享嘉宾,
张丽锋,绝味集团,cio,分享嘉宾,
刘总,哈罗集团,cto,分享嘉宾,
周伟,巴比馒头,cio,参会人员,
潘国华,MES武林大会,发起人,参会人员,
陈云凯,北京众凯加速科技,创始人&CEO,参会人员,
连德华,华意德电气,总经理,参会人员,
吕森林,指明灯智库,监事长,参会人员,
鲍炎炎,版石软件北京分公司,负责人,参会人员,
彭雪茹,女娲文化,创始人,主持人,参会人员
Ashley Ruan,慧鹞信息科技,联合创始人,参会人员,
苏俊明,芯与网络科技,董事长,参会人员,
吴彧,苏州翎客,CTO,参会人员,
姜磊,爱秀云,cto,参会人员,
曹博士,GE5教育,创始人,参会人员,
詹总,简数道,ceo,参会人员,
苏女士,江苏版石软件,销售经理,参会人员,
张峰,中车交通,招商总监,参会人员,
李倬奇,孚格数字,创始人,参会人员,
嵇明华,盛誉咨询,合伙人,参会人员,
李远梦,易德薪人才科技集团,总经理,参会人员,
王建坤,北京中科汇富科技,总经理,参会人员,
李炎,寻绎信息科技,创始人&CEO,参会人员,
郭延磊,依垒信息科技,CEO,参会人员,
商云方,得逸信息技术,总经理,参会人员,
陶汉兰,首臻信息科技,总经理,参会人员,
王桂华,恒岳网络科技,总经理,参会人员,
潘保森,海南智技云创投资,CEO,参会人员,
老涂,杭州幂链科技,CEO,参会人员,
刘圣,杭州圣何赛,经理,参会人员,
王依雪,杭州久期供应链,负责人,参会人员,
孙亮,分众传媒研发部,总经理,参会人员,
曹启兵,上海银壳信息科技,创始人,参会人员,
黄梦瑶,杭数式Oinone,合伙人,参会人员,
李海霞,浙江网新恒天软件,咨询总监,参会人员,
曹壮,深圳建广数字科技,咨询顾问,参会人员,
孙嘉,川谷金融科技,CEO,参会人员,
Jennie Wei,萱苏信息科技,销售市场负责人,参会人员,
高岩,中软国际教育科技集团,高级副总裁,参会人员,
张俊峰,对向集团,创始人,参会人员,
陈永前,北京炎焱众智科技,技术总监,参会人员,
唐荣兵,深圳云蜂智能,经理,参会人员,
薛延锋,亚美易收,CEO,参会人员,
陈浩,博大数据上海分公司,华东区总监,参会人员,
冯仁伟,固德威技术股份,CTO,参会人员,
王丽,上海厚尔财务顾问,总经理,参会人员,
舒和山,上海赛美特软件科技,行业方案中心,参会人员,
卞兰君,厦门伟卓科智慧海洋科技,董事长,参会人员,
陆文龙,上海易尚网通信技术,副总经理,参会人员,
徐俊,上海慷雅商务信息咨询,董事长,参会人员,
孙恒健,北京智创新空数据科技上海分公司,总经理,参会人员,
杨煜程,支出宝信息技术,全国售前总监,参会人员,
李萍,北京市两高（上海）律所,合伙副主任,参会人员,
